UNID,名称,所在地,経度,緯度
154,大戸平公園,中山２丁目２３番,130.5083334,31.54906775
155,奥公園,東谷山４丁目２０番,130.5215959,31.53473417
156,角明田公園,中山２丁目１６番,130.5088506,31.54638114
157,鹿児島ふれあいスポーツランド,中山町５９１番１外,130.4916684,31.54878808
158,希望ヶ丘公園,希望ヶ丘町１２番,130.5161613,31.53797998
159,清見公園,東谷山３丁目２７番,130.5182356,31.52978677
160,黒ぢょか公園,星ヶ峯４丁目３１番,130.49063,31.57979352
161,皇徳寺あすなろ公園,皇徳寺台３丁目４番,130.4897727,31.56100551
162,皇徳寺北公園,皇徳寺台５丁目２番,130.4840096,31.5654684
163,皇徳寺くらら城公園,皇徳寺台２丁目５０番,130.4921768,31.55517917
164,皇徳寺グランド公園,皇徳寺台４丁目３２番,130.4827067,31.5635536
165,皇徳寺しいの木公園,皇徳寺台５丁目５番,130.4811199,31.56599545
166,皇徳寺中央公園,皇徳寺台３丁目４番,130.4915576,31.55980859
167,皇徳寺西公園,皇徳寺台５丁目２７番,130.4794641,31.56396959
168,皇徳寺東公園,皇徳寺台１丁目２３番,130.4970355,31.55946314
169,皇徳寺南公園,皇徳寺台２丁目２１番,130.4954739,31.55754755
170,皇徳寺もくせい公園,皇徳寺台３丁目３１番,130.4886989,31.56275041
171,小松原公園,小松原２丁目２６番,130.5262608,31.52758496
172,桜ヶ丘一丁目公園,桜ヶ丘１丁目２４番,130.5127275,31.5597547
173,桜ヶ丘北公園,桜ヶ丘１丁目２８番,130.5149494,31.55984467
174,桜ヶ丘五丁目公園,桜ヶ丘５丁目２６番,130.5180793,31.54823251
175,桜ヶ丘三丁目公園,桜ヶ丘３丁目３０番,130.5136127,31.54939338
176,桜ヶ丘中央公園,桜ヶ丘４丁目１番,130.5143333,31.55337674
177,桜ヶ丘二丁目公園,桜ヶ丘２丁目１６番,130.512685,31.55592439
178,桜ヶ丘南公園,桜ヶ丘５丁目１１番,130.520887,31.54965522
179,桜ヶ丘四丁目公園,桜ヶ丘４丁目１０番,130.517476,31.55353868
180,桜ヶ丘六丁目公園,桜ヶ丘６丁目２４番,130.5208563,31.54539481
181,桜川公園,東谷山２丁目４５番,130.5229599,31.53280335
182,笹貫公園,東谷山１丁目３２番,130.5313087,31.53844979
183,島ノ森公園,東谷山５丁目３９番,130.5139242,31.52887102
184,自由ヶ丘公園,自由ヶ丘２丁目２番,130.5110665,31.54347237
185,松林寺公園,谷山中央３丁目４８４８番,130.5176303,31.51561004
186,城跡公園,自由ヶ丘１丁目９番,130.5145644,31.54049463
187,新入公園,東谷山６丁目４１番,130.5194771,31.53566115
188,砂走公園,東谷山１丁目６３番,130.5267823,31.53462723
