災害時給水ステーション（給水拠点）一覧表,,,,,,,,,,,,別紙
（１）区部の給水拠点（応急給水槽、浄水場、給水所等）,,,,,,,,,,,,平成31年4月1日現在
,【水道局設置分】,,,,(m3),,,,,,,(m3)
6,,散田給水所,,散田町二丁目6番地1,"6,660",,66,,市立東村山運動公園,★,恩多町一丁目9番地5,"1,500"
7,,東浅川給水所,,東浅川町674番地,"4,330",,67,,市立秋津小学校,☆,秋津町三丁目48番地1,100
8,,寺田配水所,,寺田町1359番地4,330,,68,国分寺市,東恋ヶ窪浄水所,,東恋ヶ窪二丁目5番地8,"1,220"
9,,元八王子配水所,,元八王子町三丁目2750番487号,150,,69,,国分寺北町第二浄水所,,北町四丁目1番地5,"5,800"
10,,北野給水所,,北野町595番地3,"5,280",,70,国立市,国立中浄水所,,中三丁目8番1号,"2,000"
11,,南陽台配水所,,南陽台三丁目5番1号,330,,71,,谷保浄水所,,谷保1462番地1,"2,000"
12,,楢原給水所,,楢原町1294番地3,"13,330",,72,西東京市,芝久保浄水所,,芝久保町五丁目9番1号,"6,030"
13,,暁町配水所,,暁町三丁目3番1号,830,,73,,保谷町浄水所,,保谷町一丁目5番24号,"2,910"
14,,久保山配水所,,久保山町二丁目15番1号,730,,74,,西東京栄町浄水所,,栄町二丁目7番6号,"1,000"
15,,大船給水所,,七国三丁目56番１号,"7,330",,75,福生市,福生武蔵野台浄水所,,武蔵野台二丁目32番地,"2,540"
16,,鑓水小山給水所,,鑓水二丁目92番地,"23,330",,76,,市立明神下公園,★,南田園一丁目12番地1,"1,500"
17,,南大沢給水所,,南大沢四丁目25番地,"4,950",,77,狛江市,和泉本町浄水所,,和泉本町四丁目6番1号,"2,260"
18,,都立陵南公園,★,長房町1572番地,"1,500",,78,東大和市,上北台浄水所,,上北台一丁目801番地1,"5,330"
19,,椚田ポンプ所,,椚田町545番,440,,79,,東大和給水所,,桜が丘三丁目44番地,"26,660"
20,立川市,柴崎浄水所,,柴崎町一丁目1番41号,"1,500",,80,清瀬市,清瀬元町浄水所,,元町二丁目27番12号,600
21,,砂川中部浄水所　(注１）,,砂川町三丁目11番7号,0,,81,,清瀬旭が丘浄水所（注4）,,旭が丘二丁目5番5号,0
22,,立川栄町浄水所,,栄町五丁目38番5号,330,,82,,市立第３保育園,☆,旭が丘三丁目755番地1,100
23,,西砂第一浄水所　(注１）,,西砂町二丁目53番14号,0,,83,東久留米市,南沢浄水所,,南沢三丁目9番地21,"3,330"
24,,立川砂川浄水所,,砂川町六丁目41番1号,"5,100",,84,,滝山浄水所,,滝山六丁目1番地1,"1,960"
25,,市立松中公園,☆,西砂町一丁目19番地の12,100,,85,武蔵村山市,学園配水所,,学園一丁目5番地の7,"1,460"
26,三鷹市,上連雀浄水所(西配水場),,上連雀九丁目41番4号,"5,430",,86,,中藤配水所,,中藤二丁目1番地の3,950
27,,三鷹新川浄水所(東配水場),,新川二丁目1番15号,"3,330",,87,,市立中原公園,★,中原二丁目21番地の4,"1,500"
28,青梅市,日向和田浄水所,,日向和田二丁目370番地,880,,88,多摩市,桜ヶ丘浄水所,,桜ヶ丘四丁目10番地,"1,500"
29,,千ヶ瀬第二浄水所,,千ヶ瀬町一丁目69番地の1,200,,89,,落合浄水所,,中沢一丁目12番地,100
30,,御岳山第一配水所,,御岳山170番地の3,70,,90,,愛宕配水所,,愛宕二丁目51番地,"1,140"
31,,成木配水所,,成木八丁目690番地の3,30,,91,,南野給水所,,南野二丁目16番地,"3,360"
32,,新町給水所,,新町五丁目24番地の1,"2,330",,92,,聖ヶ丘給水所,,聖ヶ丘四丁目1番地,"14,000"
33,,二俣尾配水所,,二俣尾五丁目107番2号,70,,93,,市立並木公園,★,和田1551番地1,"1,500"
34,,城山配水所,,東青梅六丁目95番地の1,"1,440",,94,稲城市,坂浜浄水所,,坂浜816番地,"1,510"
35,,梅郷配水所,,和田町二丁目578番１号,"1,330",,95,,向陽台給水所,,向陽台六丁目16番地,"2,000"
36,府中市,府中武蔵台浄水所及び府中武蔵台ポンプ所,,武蔵台二丁目7番地及び武蔵台一丁目25番地,"3,730",,96,,若葉台給水所,,若葉台一丁目19番地,"2,160"
37,,若松浄水所,,若松町四丁目10番地,"1,760",,97,あきる野市,秋留台給水所,,秋川三丁目2番地10,"2,000"
38,,幸町浄水所（注2）,,幸町二丁目24番地,"1,140",,98,,菅生給水所,,菅生683番地,"2,000"
39,,府中南町浄水所,,南町一丁目50番地,"1,660",,99,,上代継浄水所,,上代継407番地,200
40,,都立武蔵野公園,★,多磨町三丁目2番地,"1,500",,100,,戸倉給水所,,戸倉348番地1,"1,660"
41,調布市,上石原浄水所,,上石原一丁目34番地7号,"1,120",,101,,小峰台配水所,,小峰台40番地,160
42,,仙川浄水所,,仙川町三丁目6番地27号,320,,102,,伊奈配水所,,伊奈372番地3,130
43,,深大寺浄水所,,深大寺南町五丁目56番地1号,"9,900",,103,瑞穂町,石畑給水所,,石畑2301番地,"10,000"
44,,調布西町給水所,,西町717番地,"6,660",,104,日の出町,文化の森給水所,,平井3075番地,"2,000"
45,町田市,小野路給水所,,小野路町2637番地1,"6,330",,,多摩地区【都営水道市町】小計　（104か所）,,,,"355,250"
46,,原町田浄水所,,原町田五丁目13番3号,520,,,【都営水道市町以外】,,,,
47,,滝の沢浄水所,,旭町二丁目7番7号,"1,880",,1,武蔵野市,第一浄水場（注５）,,吉祥寺北町四丁目11番46号,0
48,,野津田浄水所,,野津田町3398番地,"1,000",,2,,第二浄水場（注５）,,桜堤一丁目6番6号,0
49,,市立つくし野セントラルパーク,★,つくし野三丁目19番地,"1,500",,3,昭島市,西部配水場,,緑町二丁目17番16号,"2,780"
50,,市立鶴川中央公園,☆,鶴川六丁目6番地,100,,4,,東部配水場,,朝日町四丁目23番地,"2,160"
51,,成瀬コミュニティセンター,☆,西成瀬二丁目49番1号,100,,5,羽村市,第一配水場,,緑ヶ丘二丁目18番地5,"2,060"
52,,市立忠生公園,☆,忠生一丁目3番地,100,,6,,小作浄水場,,小作台四丁目2番地1,"14,260"
53,,市立三輪中央公園,☆,三輪緑山三丁目21番,100,,,多摩地区【都営水道市町以外】小計　（６か所）,,,,"21,260"
54,小金井市,梶野浄水所,,梶野町五丁目10番33号,"1,300",,,,,,,
55,,上水南浄水所,,小平市上水南町三丁目12番36号,"11,660",,,多摩地区合計確保水量　（110か所）,,,,"376,510"
56,小平市,小川浄水所,,小川町一丁目847番地,"6,580",,,,,,,
57,,津田二号水源,,津田町三丁目39番3号,"1,200",,,"★：応急給水槽（1,500m3槽）",,,,
